State,Creditor Name,Bureau 
AZ,LANDINGS CREDIT UNION,Experian
AZ,CREDCO,Experian
AZ,ALERUS FINANCIAL,Experian
AZ,RICART CHEVR,TransUnion
AZ,700 CREDIT/RICART CHEV,Experian
AZ,ALLY FINANCI,TransUnion
AZ,GM FINANCIAL,TransUnion
AZ,GMFINANCIAL HUNTINGTON,TransUnion
AZ,ALLY FINANCIAL,TransUnion
AZ,FIRST CITIZENS BANK AN,Experian
AZ,JPMCB BB,Experian
AZ,US BANK,Experian
AZ,ENTERPRISE C,TransUnion
AZ,ALLY FINANCI,TransUnion
AZ,ALLY FINANCIAL,TransUnion
AZ,JPMCB AUTO,Experian
AZ,BK OF AMER,Experian
AZ,PREMIER FIN FIRST PREMIE,Experian
AZ,ALERUS FINANCIAL ,TransUnion
AZ,WEBBANK/PYPL,TransUnion
AZ,JPMCB CARD,Experian
AZ,CRTFD CRDT,TransUnion
AZ,CERTIFIED CREDIT REPOR,Experian
AZ,EMPIRE SOUTHWEST,TransUnion
AZ,JPMCB CARD,Experian
AZ,JPMCB CARD,Experian
AZ,US BANK,TransUnion
AZ,AMERICAN EXPRESS KABBA,Experian 
AZ,WFB BD CRE,Experian
AZ,WB/PAYPL/CCC,TransUnion 
AZ,JPMCB CARD,Experian
AZ,SYNCB/LOWES,TransUnion
AZ,SYNCB/LOWES,Experian
AZ,ELAN FINANCI,TransUnion
AZ,"CITIBANK NA., BEST B ",Equifax
AZ,WF BANK NA ,TransUnion 
AZ,DESERT FINCU,TransUnion
AZ,HCA,TransUnion
AZ,CAMELBACK HY,TransUnion
AZ,CAMELBACK HYUNDAI,Equifax
AZ,HYUNDAI CAPITAL AMERIC,Experian
AZ,700/CAMELBACK HYUNDAI,Experian
AZ,CAPITAL ONE,TransUnion
AZ,CAPITAL ONE BANK USA,Equifax
AZ,CAP ONE NA,Experian
AZ,JPMCB CARD,Experian
AZ,CRB/UPGRADE,TransUnion
AZ,DIGITAL FEDERAL CRED,Equifax
AZ,BK OF AMER,Experian
AZ,TD AUTO FIN,TransUnion
AZ,TESLA FINANC,TransUnion
AZ,US BANK DS NORTHEAST,Experian
AZ,BMO BANK NA,TransUnion
AZ,US BANK DS NORTHEAST,Experian
AZ,WFDS,Experian
AZ,NETWORK CR S,TransUnion
AZ,SARMA-NCS,Equifax
AZ,SARMA NCS,Experian
AZ,AMEX,Experian
AZ,EQUIFAX,Experian
AZ,EQUIFAX MORTGAGE SER,Equifax
AZ,EQUIFAX MTG,TransUnion
AZ,EQUIFAX,Experian
AZ,EQUIFAX MORTGAGE SER,Equifax
AZ,EQUIFAX MTG,TransUnion
AZ,FD/MR COOPER,Experian
AZ,ROCKET MORTG,TransUnion
AZ,XACTUS LLC,Equifax
AZ,XACTUS-AVANTUS/ROCKET,Experian
AZ,BK OF AMER,TransUnion
AZ,ROCKET MORTG,TransUnion
AZ,XACTUS LLC,Equifax
AZ,XACTUS-AVANTUS/ROCKET,Experian
AZ,LIGHTSTREAM,TransUnion
AZ,AVEN/COASTAL COMM BANK,Experian
AZ,BK OF AMER,Experian
AZ,COAF,TransUnion
AZ,CHAPMANHONDA,TransUnion
AZ,CHAPMAN IMPORTS OF T,Equifax
AZ,CAPITAL ONE,Equifax
AZ,NCCINC/CHAPMAN HONDA,Experian
AZ,JPMCB AUTO,Experian
AZ,PYRAMID FCU,Experian
AZ,CAPITAL ONE AUTO FIN,Experian
AZ,BK OF AMER,Experian
AZ,USAA FEDERAL SAVINGS B,Experian
AZ,RESIDENT VERIFY,Experian
AZ,RESIDENT VERIFY,Experian
AZ,RFFC FINANCI,TransUnion
AZ,NCCINC/PRECISION TOYOT,Experian
AZ,TOYOTA MOTOR CREDIT CO,Experian
AZ,TOYOTA MOTOR CREDIT CO,Experian
AZ,NCCINC/PRECISION TOYOT,Experian
AZ,TOYOTA MOTOR CREDIT CO,Experian
AZ,CIS WEST,TransUnion
AZ,XACTUS,Equifax
AZ,XACTUS-CIS/FAIRWAY IND,Experian
AZ,CREDCO,TransUnion
AZ,CORELOGIC CREDCO LLC,Equifax
AZ,CREDCO,Experian
AZ,FACTUAL DATA,TransUnion
AZ,FACTUAL DATA,Equifax
AZ,FD/ROCKET MORTGAGE,Experian
AZ,NAVY FCU,TransUnion
AZ,NAVY FCU,TransUnion
AZ,COVIUS MORTG,TransUnion
AZ,FUNDING SUITE,Equifax
AZ,COVIUS MORTGAGE SOLUTI,Experian
AZ,NEWREZ LLC,TransUnion
AZ,XACTUS,Equifax
AZ,UCS/NEWREZ LLC,Experian
AZ,EQUIFAX CANADA,Equifax
AZ,CBNA,Equifax
AZ,JPMCB CARD,Experian
AZ,700 CREDIT/ROLL IT MOT,Experian
AZ,COPPER STATE CREDIT UN,Experian
AZ,NOWCOM/MIDWAY AUTO CEN,Experian
AZ,NOWCOM WESTLAKE FINANC,Experian
AZ,ALLY FINANCIAL,Experian
AZ,WFDS,Experian
AZ,ALLY FINANCI,TransUnion
AZ,XACTUS-CP/MOVEMENT MOR,Experian
AZ,XACTUS,Equifax
AZ,CREDIT PLUS,TransUnion
AZ,UCS/NEWREZ LLC,Experian
AZ,XACTUS,Equifax
AZ,NEWREZ LIC,TransUnion
AZ,CREDITFAX CISCO INC,Experian
AZ,CISCO CREDIT,Equifax
AZ,CISCO,TransUnion
AZ,MIDFIRST BANK,Experian
AZ,XACTUS-CP,Experian
AZ,XACTUS,Equifax
AZ,CREDIT PLUS,TransUnion
AZ,XACTUS-CP,Experian
AZ,XACTUS,Equifax
AZ,CREDIT PLUS,TransUnion
AZ,XACTUS-CP,Experian
AZ,XACTUS,Equifax
AZ,CREDIT PLUS,TransUnion
AZ,XACTUS-CP,Experian
AZ,XACTUS,Equifax
AZ,CREDIT PLUS,TransUnion
AZ,US SM BUS ADMIN ODA,Experian
CALIFORNIA,,
CA ,SYNCB/AMAZON,TransUnion
CA ,SYNCB/AMAZON PLCC,Experian
CA ,WF CRD SVC,Equifax
CA ,AMEX,
CA ,JPMCB CARD,Experian
CA ,EQUIFAX MORTGAGE SER,Equifax
CA ,EQUIFAX MORTGAGE SERVI,Experian
CA ,EQUIFAX MTG,TransUnion
CA ,SARMA-MORTGAGE DEPT.,Equifax
CA ,SARMA,Experian
CA ,SARMA,TransUnion
CA ,SYNCB/JCP,TransUnion
CA ,INDIRECT LEN,TransUnion
CA ,NAVY FEDERAL CR UNION,Experian
CA ,WFB BD CRE,Experian
CA ,FUNDATION GROUP LLC,Experian
CA ,AMEX,Experian
CA ,WFB BD CRE,Experian
CA ,WELLSFARGO,Experian
CA ,WF PLL,TransUnion
CA ,LENDINGPOINT LLC,Experian
CA ,COMENITYCAPITAL/ALPH,Equifax
CA ,"CITIBANK NA, WAYMC ",Equifax
CA ,JPMCB CARD,Experian
CA ,RESIDENT VERIFY,Experian
CA ,JPMCB CARD,Experian
