lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
InBranchBizCC,"Apply at one Elan bank, then apply to a second with consistent info",,,https://app.notion.com/p/legacystrong/Louisiana-253c3aa761d28022842ae6894ed544b8,LA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-AT-ONE-ELAN-BANK-THEN-APPLY-TO-A-S
InBranchBizCC,"Apply to one bank first, then a second Elan bank with same data",,,https://app.notion.com/p/legacystrong/North-Dakota-253c3aa761d280fb8cc3db0a998caa8c,ND,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-TO-ONE-BANK-FIRST-THEN-A-SECOND-EL
InBranchBizCC,"Apply to one Elan bank first, then submit to a second",,,https://app.notion.com/p/legacystrong/Kansas-253c3aa761d28030a60fd298581357b7,KS,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-TO-ONE-ELAN-BANK-FIRST-THEN-SUBMIT
InBranchBizCC,"Apply to one first, then a second Elan bank once approved",,,https://app.notion.com/p/legacystrong/Indiana-253c3aa761d280869289d2c1b9f70bb0,IN,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-TO-ONE-FIRST-THEN-A-SECOND-ELAN-BA
InBranchBizCC,"Apply with one bank first, then a second Elan partner",,,https://app.notion.com/p/legacystrong/Michigan-253c3aa761d280788103ca55bebcd8aa,MI,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-WITH-ONE-BANK-FIRST-THEN-A-SECOND-
InBranchBizCC,"Apply with one bank, then a second with matching data",,,https://app.notion.com/p/legacystrong/Maryland-253c3aa761d280da9edddf304ac75e0e,MD,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-APPLY-WITH-ONE-BANK-THEN-A-SECOND-WITH-M
OnlineBizCC,Arizona Bank & Trust (0% - HTLF),,,https://app.notion.com/p/legacystrong/Arizona-253c3aa761d280c9aea9d64e162937b2,AZ,,,,,,,,,,,,,,,,,,Submit online. Expect phone call.; Claim 6-figure net worth + $50k/month spend (unverified but helpful).,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ARIZONA-BANK-TRUST-0-HTLF
InBranchBizCC,Artisans’ Bank,,,https://app.notion.com/p/legacystrong/Delaware-253c3aa761d28005b33ecaa3430c8260,DE,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-ARTISANS-BANK
OnlineBizCC,Arvest Bank,,,https://app.notion.com/p/legacystrong/Arkansas-253c3aa761d280bebebfdc79020e3fc3,"AR, OK",,,,,,,,,,,,,,,,,,Local/regional option with standard Visa Biz offerings,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ARVEST-BANK
InBranchBizCC,Associated Bank,,https://online1.elancard.com/oad/learnMoreCorrespondent.controller,https://app.notion.com/p/legacystrong/Nevada-253c3aa761d28023bcc3ee7d0467faab,"NV, WI",,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-ASSOCIATED-BANK
